id,headline,subheading,body,generated_subheading
uk-england-surrey-13638264,"Surrey library borrowers owe £700,000 in unpaid fines","Surrey County Council is owed more than £700,000 in unpaid library fines.","The Conservative-controlled local authority said the problem of outstanding fines was a ""thorn in the side of librarians"". The council is currently proposing to devolve the running of 11 libraries to the community to save money. Gillian Woods, a campaigner from the save Warlingham Library Group, said the council should introduce a more efficient reminding system. A council spokeswoman said: ""The problem of unpaid library fines is a thorn in the side of librarians up and down the country. ""Although the combined fines add up to a lot of money, each individual only owes a few pounds or pence.""","臭 Conservative-controlled local authority said the problem of outstanding fines was a ""thorn in the side of librarians"". The council is currently proposing to devolve"
uk-england-birmingham-47369428,"Bordesley Green stabbing: Murder arrest of boy, 16",A 16-year-old boy has been arrested on suspicion of murder after a teenager was stabbed to death in Birmingham.,"Hazrat Umar, 18, was found fatally injured in Norwood Road in Bordesley Green at about 14:00 GMT on Monday. He died at the scene. West Midlands Police said a 16-year-old boy, from Birmingham, was arrested on Monday night and remains in custody. The force said officers were supporting the victim's family and a post-mortem examination was due to take place. Officers are using special stop and search powers - where they believe there is a risk of violence or weapons are being carried - in Bordesley Green as well as the city centre and Small Heath, until 04:00 GMT on Wednesday. The family of Mr Umar, a South and City College Birmingham student, who lived in Bordesley Green, said they were in shock. Uncle Akbar Afzal said: ""He was a very pleasant lad and it is really shocking what has happened. ""Not just for himself, but there are other young lads getting stabbed for no apparent reason whatsoever and they are educated lads as well. ""I don't understand what is happening."" Teenagers Abdullah Muhammad and Sidali Mohamed have also been stabbed to death in Birmingham this month. Mr Umar was a relative of former chief prosecutor for North West England Nazir Afzal. ""I don't want any other family having to experience what our family has,"" Mr Afzal said. ""Therefore it requires action, and one of the things that has struck me is how little conversation there is about the subject. ""When it was happening in London it was non-stop news and attacks on Sadiq Khan and the police, but none of that seems to be happening in Birmingham."" South and City College Birmingham principal, Mike Hopkins, said he was ""extremely shocked and saddened"" over the death of the electrical engineering student. ""He will be extremely missed by staff and students alike,"" he said. ""We are doing all we can to support those struggling with grief."" Shabana Mahmood, MP for the area, has requested an urgent meeting with the West Midlands' chief constable and the police and crime commissioner. She said: ""Our communities need assurances that measures are being put in place to work with local communities to prevent any further appalling incidents from happening. ""The rising violent crime, and particularly knife crime, we have seen in recent weeks and months across Birmingham is extremely concerning."" Follow BBC West Midlands on Facebook, on Twitter, and sign up for local news updates direct to your phone.","백악azrat Umar, 18, was found fatally injured in Norwood Road in Bordesley Green at about 14:00 GMT on Monday. He died at the scene. West Midlands Police sad bo"
uk-england-cambridgeshire-36889869,"Wyton road crash: Lorry driver opened text before fatal crash, court hears","A lorry driver opened a text message seconds before he is accused of causing a crash in which an off duty police officer died, a court has heard.","Danny Warby, 28, of King's Lynn, denies causing the death of Det Con Sharon Garrett, 48, by dangerous driving. The five-vehicle collision took place on the A141 near Wyton, Cambridgeshire, in June 2014, Peterborough Crown Court heard. Mother-of-two Mrs Garrett joined Cambridgeshire Police in 1991. Helen Guest, for the prosecution, said Mr Warby, of School Road, Runcton Holme, was driving the 13.6-tonne light goods vehicle along the A141 in Cambridgeshire when he opened a text message on his phone. The court heard his vehicle crossed the white line in the centre of the road and clipped an oncoming lorry, showering two cars in debris, before crashing into a Renault Clio which was also in the oncoming line of traffic. The Clio was driven by Mrs Garrett, who was on her way home from work. She was pronounced dead at the scene. Ms Guest said Mr Warby had opened a text message on his phone one minute and six seconds before the crash. She said: ""If you're interacting with a mobile phone, your eyes aren't on the road and your two hands aren't on the steering wheel."" Ms Guest told the court conditions at the time of the crash were good and vehicle defects were not a factor. She said Mr Warby's lorry was travelling at 53mph (85km/h) on a stretch of single carriageway restricted to 40mph (64km/h) for lorries at the time of the collision. Ms Guest said Mr Warby had been diagnosed with obstructive sleep apnoea in late 2015 and his defence lawyers would argue he experienced a micro-sleep just before the crash. The prosecution's case is that Mr Warby's reaction to apply the brakes after the first collision was ""rapid"", and not consistent with a person who had been asleep. The trial continues.","by dangerous driving. The five-vehicle collision took place on the A141 near Wyton, Cambridgeshire, in June 2014, Peterborough Crown Court heard. Mother-of-t"
uk-politics-56823344,Leo Docherty: Minister pledges 'protection' for Troubles veterans,"The new veterans minister has pledged legislation ""soon"" to protect British troops who served during the Troubles from unfounded prosecutions.","Leo Docherty, who took up the role on Wednesday, said ministers would give ex-soldiers who served in Northern Ireland the ""protection"" they deserved. His predecessor in the role, Johnny Mercer, quit on Tuesday in protest at their treatment by the government. He was unhappy at their exclusion from a bill debated by MPs on Wednesday. The government says the Overseas Operations Bill will protect soldiers from ""vexatious claims"" for alleged historical offences in conflicts overseas. Mr Mercer said he had been ""forced"" to resign because the government had failed to deliver on promises for a similar law covering Northern Ireland. He said the government had ""abandoned people in a way I simply cannot reconcile"" in allowing ""endless investigations"" into historic killings to continue. On Wednesday, the PM's official spokesman said details of the new legislation would be announced ""in the coming weeks"". ""There is more to be done on the issue of the Northern Ireland legacy and we are committed to making progress on this as quickly as possible,"" he added. ""We are engaging with Northern Ireland parties and the community in Northern Ireland, including victims' groups as well as the Irish government, on the way forward."" Armed Forces Minister James Heappey told the BBC on Wednesday the conflict in Northern Ireland ""needs to be dealt with separately"". ""It was an internal UK counter terrorism operation, not an overseas war like Afghanistan or Iraq, so it was always going to require its own piece of legislation,"" he added. Six former soldiers who served in Northern Ireland during the Troubles are currently facing prosecution. In 2019, the Public Prosecution Service in Northern Ireland said of 32 ""legacy cases"" it had ruled on since 2012, 17 related to republicans, eight to loyalists, and five were connected to the Army. Plans were announced last year by the government to restrict the number of Troubles killings which could be fully investigated under a new approach where ""new, compelling evidence"" would be required. But the Overseas Operations Bill would go further for other veterans, such as those who served in Iraq or Afghanistan, by proposing a five-year limit on criminal prosecutions. Ministers have already been forced into a climbdown over the scope of a proposed ""presumption against prosecution"" after this time frame. Human rights groups, former military commanders and lawyers had criticised plans in the original version of the bill for this to include torture, genocide and crimes against humanity. On Tuesday, the government announced it would accept demands from the House of Lords for the these offences to be excluded from legal safeguards. It tabled an amendment on the issue designed to replace one from Labour's Lord Roberts backed by peers earlier this month - which MPs then approved on Wednesday. Speaking ahead of the vote, Mr Docherty told MPs that ""not explicitly excluding these offences from the bill is clearly an omission that must be rectified"". He said the government had agreed to change the bill after listening to the ""very real concerns"" from MPs and peers that the bill would damage the reputation of the UK government and the armed forces internationally.","xῶeo Docherty, who took up the role on Wednesday, said ministers would give ex-soldiers who served in Northern Ireland the ""protection"" they deserved"
uk-england-london-33966632,Battle of Britain: Flypast for 75th anniversary of 'Hardest Day',"Aircraft including 18 Spitfires and six Hurricanes have flown over south-east England to mark 75 years since the Battle of Britain's ""Hardest Day"".","The event recalled 18 August 1940, when Bromley's Biggin Hill and other South East military bases came under attack from the German Luftwaffe. It became known as the ""hardest day"" as both sides recorded their greatest loss of aircraft during the battle. The Battle of Britain lasted throughout the summer of 1940. It was the first major campaign fought entirely in the air. BBC reporter Clark Ainsworth at Biggin Hill What a sight. Watching those iconic World War Two aircraft take to the skies above Biggin Hill was something to behold. Spectators gasped as they then circled the airfield in formation. The roar of the Merlin engines and the grace with which the Hurricane and especially the Spitfires, climb, bank, dive and weave through the air is a joy to behold. All the aircraft have now landed with spectators invited to see them up close and take pictures. And although they are beautiful to look at on the ground, it is in the sky where they truly shine. The Hardest Day commemorations in pictures The Luftwaffe flew 850 sorties, involving 2,200 aircrew, while the RAF resisted with 927 sorties, involving 600 aircrew. The RAF and German Air Force lost 136 aircraft in one day. The special commemoration, staged from the former RAF airfield at Biggin Hill, now a commercial airport, honours the pilots, engineers, armourers, operations staff and ground crews who faced attack that day. BBC iWonder - Why do we love the Spitfire? More than 3,000 spectators went to Biggin Hill to see the aircraft including squadron leader Tony Pickering who flew on the ""Hardest Day"". He said: ""I don't think I was ever afraid. You've got to make sure you don't get too enthusiastic. You couldn't take on the German air force by yourself. ""It's lovely to see these aircraft. Beautifully designed aircraft and there's no doubt about it. The people who made them... they did a good job."" Will Curtis, managing director of Biggin Hill Airport, said it was remarkable that the Spitfire was ""still a joy to fly"", adding that ""real credit"" goes to its designer RJ Mitchell. He said: ""It is as finely tuned and as well-balanced, if not better balanced, than a modern aircraft."" The day was marked with three flight formations, which took off from the airport at 13:00 BST: On 10 July, aircraft including Hurricanes and Typhoons took part in a flypast over Buckingham Palace as part of the 75th anniversary.","event recalled 18 August 1940, when Bromley's Biggin Hill and other South East military bases came under attack from the German Luftwaffe. It became known as"
technology-21322183,"Google searches expose racial bias, says study of names","A study of Google searches has found ""significant discrimination"" in advert results depending on the perceived race of names searched for.","Harvard professor Latanya Sweeney said names typically associated with black people were more likely to produce ads related to criminal activity. In her paper, Prof Sweeney suggested that Google searches may expose ""racial bias in society"". Google has said it ""does not conduct any racial profiling"". In a statement to the BBC, the company said: ""We also have an 'anti' and violence policy which states that we will not allow ads that advocate against an organisation, person or group of people."" When placing ads with Google, companies are able to specify which keywords they would like to target. ""It is up to individual advertisers to decide which keywords they want to choose to trigger their ads,"" the search giant said. Arrested? The study analysed the type of advertisements that appeared on Google when certain names were searched for. It looked at Google.com's core search engine, as well as the search function of Reuters.com - which also displays Google's advertising. Prof Sweeney's investigation suggests that names linked with black people - as defined by a previous study into racial discrimination in the workplace - were 25% more likely to have results that prompted the searcher to click on a link to search criminal record history. She found that names like Leroy, Kareem and Keisha would yield advertisements that read ""Arrested?"", with a link to a website which could perform criminal record checks. Searches for names such as Brad, Luke and Katie would not - instead more likely to offer websites that can provide general contact details. ""There is discrimination in the delivery of these ads,"" concluded Prof Sweeney, adding that there was a less than 1% chance that the findings could be based on chance. ""Alongside news stories about high school athletes and children can be ads bearing the child's name and suggesting arrest. This seems concerning on many levels."" User habits However, she was reluctant to pinpoint a cause for the discrepancies, saying that to do so required ""further information about the inner workings of Google AdSense"". She noted that one possible cause may be Google's ""smart"" algorithms - technology which automatically adapts advertising placement based on mass-user habits. In other words, it may be that the search engines are reflecting society's own prejudices - as the advertising results Google serves up are often based on the most popular links previous users have clicked on. ""Over time, as people tend to click one version of ad text over others, the weights change,"" Prof Sweeney explained. ""So the ad text getting the most clicks eventually displays more frequently."" She argued that technology should be used to counteract this effect. ""In the broader picture, technology can do more to thwart discriminatory effects and harmonise with societal norms. ""Ads responding to name searches appear in a specific information context and technology controls that context.""","like to target. ""It is up to individual advertisers to decide which keywords they want to choose to trigger their ads,"" the search giant said. Arrested? The st"
newsbeat-47482317,Radio 1 LOL-a-thon for Comic Relief was 'best thing we've done',"""I really do think it's one of the best things we've ever done,"" Chris Stark tells Newsbeat as he and Scott Mills finish a 27-hour broadcast on Radio 1.","During their Lol-a-thon, the DJs told hundreds of jokes from listeners and raised £324,931 for Comic Relief. They planned to do 24 hours but were spurred on by support from the audience. Chris adds: ""There's a big trust there, a special bond between us and the people listening."" Ricky Gervais, David Beckham and Claudia Winkleman were among the ""revolving door of guests"" who appeared during the marathon show. But for Chris the stand out moment was a moment inspired by the listeners. ""There was a knock knock joke from a little lad called Edward. ""We super-sized it by going to do a knock, knock joke on the most famous door in the country. Number 10 Downing Street."" The presenters say that the level of listener engagement went far beyond the gags. ""Amongst the jokes and the silly stuff there were some amazing conversations happening,"" explains Chris. ""Obviously raising that amount is so special and we're so proud of everyone who did that. ""But there were times, amongst all the silly things we got to do, some amazing conversations were happening."" ""This was about jokes but doing something for Comic Relief also provides the perfect opportunity to have more serious chat about other things."" ""I saw a text message towards the end of the broadcast where somebody had heard what Greg James said about not feeling great in the last couple of weeks,"" explains Scott. ""The listener said he hadn't heard anybody talk like that and that he was feeling exactly the same. ""Hearing the guy from the radio give such an important piece of honesty that he'll now take know they're not the only one going through that."" Scott adds: ""The whole thing is so odd. ""If you think about it we only started yesterday... the money we've raised did not exist at 1pm yesterday and that's the power of the Radio 1 listeners. ""This happens a lot where we ask for money. You can be sat there at 5am like we this morning and it was about £30,000. ""Then it gathers speed... everyone gets so involved and invested in the story."" Follow Newsbeat on Instagram, Facebook and Twitter. Listen to Newsbeat live at 12:45 and 17:45 every weekday on BBC Radio 1 and 1Xtra - if you miss us you can listen back here.","ve more serious chat about other things."" ""I saw a text message towards the end of the broadcast where somebody had heard what Greg James said about not feeling great in the"
uk-england-shropshire-37661270,Ludlow Hospital maternity services suspended,Maternity services have been suspended at a hospital because of concerns about the condition of the building they are housed in.,"The trust that runs Ludlow Community Hospital in Shropshire said the decision ""had not been taken lightly"". Expectant mothers have been contacted and ""alternative arrangements put in place"", a statement said. Bosses are now looking for an alternative location nearby to house antenatal services. Shrewsbury and Telford Hospital Trust chief executive Simon Wight has apologised for any disruption caused. ""The decision to temporarily suspend services is not one we have taken lightly, but one we felt to be necessary and in the best interest of mums, babies and staff,"" he said. He said no decisions about when services would resume would be made until a structural survey had been completed. The trust said women due to attend the unit in the next few weeks had been given telephone numbers they may need. It said community midwifery services would be maintained.",", but one we felt to be necessary and in the best interest of mums, babies and staff,"" he said. He said no decisions about when services would resume would be made un"
uk-england-london-19798173,Mark Duggan death: Kevin Hutchinson-Foster 'lied about gun',"A man on trial for supplying a gun to Mark Duggan the day the 29-year-old was shot by police said he tried to ""distance"" himself from the shooting.","Kevin Hutchinson-Foster, 30, said he ""lied"" to police about handling the gun in the week before the shooting for fear of being thought of as a ""snitch"". He denies giving Mr Duggan an illegal handgun on 4 August last year. Snaresbrook Crown Court heard he had borrowed a gun for a day, but returned it a week before Mr Duggan was shot. Mr Duggan's death sparked riots in Tottenham, which led to disorder in a number of English cities and towns. Mr Hutchinson-Foster denies selling or transferring a prohibited firearm to Mr Duggan between 28 July and 5 August 2011. Barber 'pistol-whipped' Giving evidence, he said he lied to police when they asked him whether he had handled the gun in the week before Mr Duggan's death because he did not want anyone to think ""I had something to do with Mark dying"". He had used the gun to pistol-whip a barber in a hair salon in Hackney on 29 July and the blood of both men was found on the weapon, the court heard. He said he borrowed the gun ""for show"" in the confrontation with the barber, but returned it later that day. Mr Hutchinson-Foster also said he lied when he told police Mr Duggan had been part of a group of men that beat him with a gun a week earlier. Prosecutor Edward Brown QC, suggested this was an ""invented attack"" to account for the fact that his blood was found on the handgun which police found after Mr Duggan was shot. The barrister said: ""You have tried to fit your lies through the evidence as it developed."" To which Mr Hutchinson-Foster replied: ""The event did happen."" He said he had been in touch with Mr Duggan for weeks over a drugs deal, several of which took place in the hours leading up to Mr Duggan's shooting by police. 'Agitated and angry' The defendant said Mr Duggan wanted to come to Leyton to supply drugs, but in a later phone call on the way to Leyton, the defendant told the court Mr Duggan wanted him to accompany him to Tottenham to collect the drugs. But Mr Hutchinson-Foster said he could not because he had to take another girlfriend to a dance audition, and Mr Duggan went alone. Mr Hutchinson-Foster said after Mr Duggan was shot he received a phone call from a mutual friend, Mo, who was also involved in the drug deal. The defendant said: ""He was very agitated and angry at me and basically said I snitched up Mark."" As news of the shooting spread, he said he received a number of calls accusing him of being a snitch and he switched phones the day after the shooting. He said he had lied to police in an effort to ""distance"" himself from any association with events that led to the shooting of Mr Duggan. The prosecution also alleges the defendant handed Mr Duggan the gun in a shoebox, 12 to 15 minutes before he was shot and that the box bore the fingerprints of Mr Duggan, Mr Hutchinson-Foster and his girlfriend Desire Cox. Asking him about the shoebox, Mr Brand said: ""So was it just a coincidence that a person fitting your description hands over a box ending up with your fingerprints on it, with Desire Cox's fingerprints on it and Mark Duggan's?"" To which Mr Hutchinson-Foster replied ""Yes"". The trial continues.","evin Hutchinson-Foster, 30, said he ""lied"" to police about handling the gun in the week before the shooting for fear of being thought of as a ""snitch"". He denies giving"
uk-wales-33627410,Owners told to clean up mess in 'dog walking code',Dog owners are being told to clean up after their pets when out walking as part of a new code of conduct.,"Natural Resources Wales (NRW) has released a 'dog walking code' to ensure owners show respect and consideration for the countryside and other people. It includes keeping dogs under control, bagging and throwing away dog poo and not letting dogs chase wildlife. Rhian Jardine of NRW said they hope dog owners will show ""respect and sensitivity"" towards places and people. NRW says it has developed the new code in partnership with organisations such as the Kennel Club, Ramblers Cymru, the National Trust and farming unions. Stephen Jenkinson, Kennel Club Access adviser, said: ""We are so pleased Natural Resources Wales and partners recognise the many social and health benefits of dog walking, alongside the need to reduce any problems for farm animals, wildlife or other visitors. ""Off-lead exercise is vital for happy, healthy dogs, and this code really helps walkers when leads are essential, such as when they are around livestock.""",atural Resources Wales (NRW) has released a 'dog walking code' to ensure owners show respect and consideration for the countryside and other people. It includes
uk-england-oxfordshire-56278928,'You can do it' B&Q lorry gets stuck under bridge,"A lorry bearing the words ""you can do it"" has got wedged under a railway bridge.","The orange B&Q lorry struck the bridge over the A41 at Blackthorn, near Bicester, Oxfordshire, at about 08:30 GMT. Damian Tarnowski, who was on his way to work, had been a few cars behind when it got stuck. He said the driver was ""trying to reverse with no luck as his wheels were just spinning"". B&Q and Network Rail have been approached for comment. Mr Tarnowski added: ""I pulled over to phone emergency services as they had to stop trains coming due to possible structural damage."" Travel writer and rail expert Mark Smith, better known as The Man in Seat 61, tweeted: ""Huge orange B&Q lorry emblazoned 'You can do it...' actually found it couldn't."" Thames Valley Police said the driver had been ""reported"" but would not give further details about the incident. A spokeswoman said she believed the road had since been cleared. Follow BBC South on Facebook, Twitter, or Instagram. Send your story ideas to south.newsonline@bbc.co.uk. Related Internet Links Thames Valley Police Network Rail","인도 orange B&Q lorry struck the bridge over the A41 at Blackthorn, near Bicester, Oxfordshire, at about 08:30 GMT. Damian Tarnowski, who was on h"
world-europe-24825002,EU restarts talks with Turkey after three years,The European Union has opened a new round of talks with Turkey on the country's 26-year-old application to become a member.,"Negotiations had been suspended for nearly three-and-a-half years. A recent EU report criticised the police in Turkey for using excessive force during mass protests in June. But the EU Commissioner for Enlargement, Stefan Fuele, said such events only underlined the importance of Turkey's engagement with Brussels. A spokesman for the Turkish government called the latest talks a ""real turning-point"" in relations. Turkey signed an association agreement with the EU (then the European Economic Community) back in 1963. Over the years negotiations have stalled over a range of issues, including concern over freedom of speech and democracy, treatment of religious minorities, judicial reform, and ongoing tensions with Cyprus, an existing EU member. Some EU politicians worry that such a large, mainly Muslim country would change the whole character of the EU, while others point to the young labour force that Turkey could provide for an ageing Europe. 'EU benchmark' Tuesday's talks in Brussels focused on one of 35 policy areas, or chapters, in which candidate-states must meet EU standards in order to join the 28-member bloc. Chapter 22 deals with regional policy and covers job creation, competitiveness, innovation, economic growth, improved quality of life and sustainable development. Linas Linkevicius, foreign minister of Lithuania which currently chairs the EU, announced that ""further progress in the accession process"" had been made. ""We also welcome important progress on reforms that have been recently made in Turkey, in particular positive developments in the area of democracy and rule of law,"" he said. Mr Fuele said the EU must remain ""the benchmark for reform in Turkey"". ""We need more engagement, not less,"" he said. Turkey's Minister for EU Affairs, Egemen Bagis, quipped in reply: ""Stefan, I want to assure you, we are ready to not only get engaged but also get married, which metaphorically is full membership.""",", or}hapters, in which candidate-states must meet EU standards in order to join the 28-member bloc. Chapter 22 deals with regional policy and covers job creation, competiti"
uk-england-bristol-14165664,Council reverse decision to close Culverhay School in Bath,Councillors have reversed their decision to close an all-boys school in Bath.,"Culverhay School, which is about half full, had been due to close at the end of the academic year. Bath and North East Somerset councillors had voted to recommend the closure of Culverhay School in July. But following a review by the council's scrutiny panel and a full council meeting on Thursday, councillors have voted to keep the school open. Councillor Nathan Hartley said the school is now hoping to become a co-educational academy. He said: ""The school itself is now in the process of submitting its own bid to become an academy. ""There's also an application from a free school group. It's up to the government over the summer to decide which one of those should go through and be successful.""","become an academy. ""There's also an application from a free school group. It's up to the government over the summer to decide which one of those should go th"
uk-48394001,Students 'may have been unfairly deported' over English test cheat claims,"Foreign students may have been unfairly deported from the UK after being falsely accused of cheating in English language tests, a report has warned.","The government withdrew 30,000 visas from non-EU citizens after it emerged students were having other people sit their tests for them. The National Audit Office concluded cheating had been ""large scale"", but innocent people may have been deported. Thousands accused of cheating had since won leave to remain, it also said. The Home Office said the NAO's report highlighted ""the scale and organised nature of the abuse"", adding that 25 people had received criminal convictions for their role in the scandal. In 2014, BBC Panorama broadcast footage showing organised cheating in two English language test centres run by third parties for the non-profit organisation Educational Testing Service (ETS). The service used voice recognition technology to try to find out who had cheated by having someone else sit their test. ETS classified 97% of UK tests taken between 2011 and 2014 as suspicious, 58% as invalid, and 39% as questionable. In the wake of the findings, the Home Office shut down colleges, excluded students and cancelled visas. The head of the NAO, Sir Amyas Morse, said the Home Office ""should have taken an equally vigorous approach to protecting those who did not cheat but who were still caught up in the process, however small a proportion they might be"". ""This did not happen,"" he added. The watchdog said it could not estimate accurately how many innocent people may have been wrongly identified as cheats. As of March, 11,000 people who had taken the English tests had left the country after an accusation was made against them, the NAO said. One student accused in 2014, who did not want to use his real name, told the BBC's Today programme the Home Office tried to deport him in 2017 and kept him in a detention centre for seven days. ""All this actually made my life really miserable, I cannot even finish my studies,"" he said. At the beginning of May he launched an appeal to clear his name. He is waiting to hear the result. Last month, a woman who came to the UK from Bangladesh in 2010 told the Victoria Derbyshire programme she also had at one stage been detained after being accused of cheating. Fatema Chowdhury, who finished her law degree at the University of London in 2014, denied the allegation and said no evidence of her alleged cheating had been presented to her. She is not currently being threatened with removal from the UK, but while remaining in the country cannot work or use the NHS for free. She said her ""dreams and hopes"" had disappeared, and she was ""desperate"" to speak to someone at the Home Office to ""prove my innocence"".",",x government wt  eւււււ㠎㠎㠎㠎㠎ւ㠎㠎㠎ււ㠎㠎ւււ㠎ււ㠎ւ㠎㠎ւ㠎ււււ eււ㠎㠎 eւ㠎㠎㠎겠지만㠎㠎㠎㠎겠지만ւ㠎㠎㠎 eւււ㠎겠지만㠎㠎ւ㠎겠지만㠎ւ㠎㠎겠지만㠎ււ㠎"
uk-scotland-south-scotland-47089944,Potholes risk deflating Borders cycling tourism,"The state of the roads in the Scottish Borders could damage the region's cycling tourism credentials, it has been claimed.","Galashiels and district councillor Harry Scott said one official cycle route was in ""serious disrepair"". He said the B709 from Heriot to Innerleithen was hazardous not only for cars but particularly for cyclists. However, he was told the route was inspected every two months in line with Scottish Borders Council's policy. Mr Scott flagged up the B709 - one of Britain's longest B roads - as being at the ""heart of Borders cycling"" in the Innerleithen and Peebles areas. He said he was not looking for a ""quick fix"" in the current financial climate but simply that the road was not forgotten. Mr Scott told a full council meeting: ""The B709 Heriot to Innerleithen road is listed as an official Borders cycle route with the aim of attracting touring cyclists to enjoy the scenery and spend money in the Borders. ""Several sections of the road, particularly towards Innerleithen, are presently in a state of serious disrepair, and hazardous not only for cars, but particularly for cyclists. ""May I ask that at the least, the most hazardous sections of the B709 be considered for inclusion as a matter of priority in the roads department's scheme of works and overlays for the year 2019/20."" 'Reactive maintenance' In response, Gordon Edgar, the council's executive member for roads and infrastructure, told the chamber the route was inspected every two months. ""Any defects noted during these inspections are recorded and instructions are issued to carry out reactive maintenance as required within the timescale guidelines,"" he said. ""Some sections of the B709 road are listed as 'being considered for possible inclusion' in future surface treatment programmes,"" he added. He said that the overall condition of the network meant they could not permanently treat all identified sections and had to apply a ""prioritisation process"" to deliver an annual programme within budget.",alashiels and district councillor Harry Scott said one official cycle route was inspected every two months in line with Scottish Borders Council's policy. Mr
uk-northern-ireland-foyle-west-51688900,Londonderry: Teenagers arrested over disability centre arson attack,Two teenage boys aged 15 and 13 have been arrested following an arson attack at a disability centre in Londonderry.,"Two fires were reported at the premises, one under a set of stairs and one in the kitchen, at about 07:10 GMT on Saturday. The teenagers have been arrested on suspicion of arson and two counts of burglary. Sergeant Michael Hughes said the incident was being treated as ""deliberate ignition"". Police said entry was gained to the North West Learning Disability Centre, with a sum of money believed to have been taken from a till. The teenagers have also been arrested in relation to a burglary at a fast food outlet between 05:10 and 05:25 GMT on Saturday. Dermot O'Hara, chief executive of Destined, the charity which runs the centre and employs adults with learning disabilities, said it could take ""six to nine months for us to get back in action"". ""[They] pulled out water pipes and flooded the place and then set a number of fires to try and burn the building down and very nearly succeeded. ""The kitchen and our cafe area are totally vandalised, the people busted in the door and came in and wrecked the place,"" he said. ""The kitchen is totally ruined so we're going to have to replace the whole kitchen, the whole café."" 'Devastated' The mayor of Derry City and Strabane, Michaela Boyle, said she was shocked and saddened and asked people to help with a clean-up on Sunday morning. Sinn Féin MLA Karen Mullan condemned the incident, saying the community would be ""rightly devastated"". ""This centre not only provides activities and programmes for young people and adults with learning disabilities, it's a social economy providing employment,"" she added. DUP MLA Garry Middleton said the incident was disgraceful. The Northern Ireland Fire and Rescue Service extinguished the fires at the scene. No one was in the building at the time.",". The teenagers have been arrested on suspicion of arson and two counts of burglary. Sergeant Michael Hughes said the incident was being treated as ""deliberate ignition"
uk-wales-south-west-wales-43839488,Stena plans three-month closure of Fishguard ferry terminal,"Fishguard's ferry terminal could close for up to three months according to the operator, Stena Line.","The temporary closure would allow for the replacement of the mechanised bridge that links the ferries to the dock in a £5m project. It is understood that the most likely period is from February next year. Stena Line said it was ""committed to examining the possibilities of investing in key elements of the port infrastructure"". The company is looking at replacing the current Linkspan provision, the key ship-to-shore connection that allows vehicles to board and disembark at different tide heights. Stena has lodged an initial outline planning application to Pembrokeshire County Council. Its statement says: ""It is expected that the port will close for approximately three months. However this is yet to be confirmed."" The closure could include the busy Easter holiday period for the route, which runs between Fishguard and Rosslare in the Republic of Ireland. Companies are tendering for the contracts for the work. Stena says the bids are being being scrutinised and evaluated against criteria including ""cost and time to install"".","bridge that links the ferries to the dock in a £5m project. It is understood that the most likely period is from February next year. Stena Line said it was ""comm"
world-asia-44358680,Swimmer Ben Lecomte begins record Pacific crossing attempt,A French swimmer has set off from Japan aiming to become the first person to swim across the Pacific Ocean.,"Ben Lecomte, 51, will swim for eight hours a day for more than six months as he heads towards the US west coast. He faces dangers including sharks, storms, swarms of jellyfish, and extremely low water temperatures. He is hoping to raise awareness for climate change, and a team of scientists will conduct research during the 5,500 mile (9,000 km) swim. They will study plastic debris, the effect of extreme exercise on the heart and examine how the Fukushima nuclear disaster has affected the ocean. Mr Lecomte, who lives in the US, has been preparing with hours of open water swimming every day. He has also practised ""visualisation and dissociation"" exercises to ensure he is mentally ready. ""The mental part is much more important than the physical,"" he told AFP news agency. ""You have to make sure you always think about something positive."" ""When you don't have anything to occupy your mind it goes into kind of a spiral, and that's when trouble starts,"" he says. Preparations for the trip have taken more than six years, but Mr Lecomte has been targeting the challenge for much longer. In 1998, he made the first known solo trans-Atlantic swim covering 6,400km (4,000 miles) in 73 days. When he finally reached dry land in France, his first words were ""never again"", but he was soon looking for a new challenge. ""It didn't take that long for me to change my mind,"" he told NPR. ""Three, four months afterwards I was already thinking about my next adventure and doing something kind of the same."" You may also be interested in: Mr Lecomte's daily routine will remain virtually the same for the entire trip. He will swim for eight hours, jump onboard the support boat to eat and sleep, and then enter the water again. To keep his energy levels high, he is aiming to consume 8,000 calories a day. ""I have a strict no sugar diet. Most of my calories will come from a high-fat diet and include a lot of freeze-dry full meals, rice, pasta and various soups,"" he posted during a Reddit interview earlier this month. The support boat will be fitted with a GPS tracker and interested viewers will be able to track its progress on Mr Lecomte's website.","been preparing with hours of open water swimming every day. He has also practised ""visualisation and dissociation"" exercises to ensure he is mentally ready. ""The mental"
